timestep,episode,episode_reward,episode_length,mean_dist,max_cube_height,success
1200,1,-48.42710037529466,150,0.3128473358352979,0.64998806,0
2400,2,-50.1506065875291,150,0.32433737725019457,0.64998955,0
3600,3,-53.67317040264603,150,0.3478211360176404,0.64998806,0
4800,4,-46.090053416788514,150,0.2972670227785905,0.64999,0
6000,5,-34.88437301293018,150,0.2225624867528677,0.66446745,0
7200,6,-57.1151204109191,150,0.3707674694061279,0.64998806,0
8400,7,-66.04112663865085,150,0.43027417759100595,0.64998806,0
9600,8,-45.72791118174785,150,0.2948527412116528,0.64999,0
10800,9,-26.502031680196694,150,0.16668021120131016,0.6602484,0
12000,10,-36.945771854370825,150,0.23630514569580555,0.6664911,0
13200,11,-34.49136369675407,150,0.21994242464502653,0.6608678,0
14400,12,-36.660328522324605,150,0.2344021901488304,0.64999,0
15600,13,-38.813347838819034,150,0.2487556522587935,0.64999,0
16800,14,-32.649214997887746,150,0.20766143331925074,0.6649149,0
18000,15,-31.417108539492062,150,0.1994473902632793,0.66608226,0
19200,16,-21.68829021230343,150,0.134588601415356,0.6670299,0
20400,17,-14.715760998427838,150,0.08810507332285246,0.660421,0
21600,18,-29.511555135250198,150,0.18674370090166728,0.6600434,0
22800,19,-19.458923760801607,150,0.11972615840534369,0.65410393,0
24000,20,-15.543946674093574,150,0.09362631116062403,0.66060895,0
25200,21,-20.37884746491912,150,0.12585898309946061,0.64999,0
26400,22,-17.880282323807503,150,0.10920188215871653,0.65780276,0
27600,23,-16.83187858015297,150,0.10221252386768659,0.66060954,0
28800,24,-20.885692548006848,150,0.12923795032004515,0.65254825,0
30000,25,-16.596061438322046,150,0.10064040958881378,0.6620223,0
31200,26,-18.97687144950034,150,0.11651247633000215,0.66033924,0
32400,27,-14.05730915069577,150,0.08371539433797201,0.6516302,0
33600,28,-16.14794027805326,150,0.0976529351870219,0.66150314,0
34800,29,-14.263166926801174,150,0.08508777951200804,0.6538938,0
36000,30,-16.30506868660448,150,0.09870045791069666,0.65135735,0
37200,31,-17.027064183726893,150,0.10351376122484604,0.66134423,0
38400,32,-14.972046110779017,150,0.08981364073852698,0.6682048,0
39600,33,-20.001258466392777,150,0.12334172310928504,0.66294765,0
40800,34,-16.007507480680914,150,0.09671671653787295,0.6595797,0
42000,35,-14.714742263779014,150,0.08809828175852696,0.6610923,0
43200,36,-16.16049311682579,150,0.0977366207788388,0.6614403,0
44400,37,-18.57957400009037,150,0.11386382666726907,0.6596389,0
45600,38,-13.23618272319433,150,0.07824121815462907,0.6603001,0
46800,39,-12.741524461656779,150,0.07494349641104539,0.660221,0
48000,40,-13.89318622648713,150,0.0826212415099144,0.6603522,0
49200,41,-18.605212229304023,150,0.11403474819536011,0.66033924,0
50400,42,-18.1084339953959,150,0.11072289330263932,0.65600246,0
51600,43,-13.114901319146126,150,0.07743267546097438,0.6627715,0
52800,44,-12.826967414468497,150,0.07551311609645685,0.65107113,0
54000,45,-15.543291497975558,150,0.09362194331983725,0.66215444,0
55200,46,-11.653030518442362,150,0.06768687012294929,0.66460806,0
56400,47,-12.973726980388134,150,0.07649151320258776,0.6587245,0
57600,48,-15.73338676430282,150,0.09488924509535233,0.66729826,0
58800,49,-10.817737232893675,150,0.06211824821929137,0.66081923,0
60000,50,-10.911131357774108,150,0.06274087571849425,0.65248555,0
61200,51,-16.88605465367435,150,0.10257369769116242,0.6666571,0
62400,52,-13.527427311986655,150,0.0801828487465779,0.6627816,0
63600,53,-12.59842399135229,150,0.07398949327568213,0.65334785,0
64800,54,-13.569886717945307,150,0.08046591145296891,0.6607804,0
66000,55,-11.429509248584479,150,0.06619672832389673,0.6573467,0
67200,56,-11.519294399768084,150,0.06679529599845409,0.6630653,0
68400,57,-11.585794545710057,150,0.06723863030473391,0.661659,0
69600,58,-11.909126394428283,150,0.06939417596285542,0.6633971,0
70800,59,-13.911746073514193,150,0.08274497382342816,0.66165864,0
72000,60,-13.208586625754803,150,0.07805724417169889,0.6566314,0
73200,61,-11.819745924323767,150,0.06879830616215865,0.6606966,0
74400,62,-12.085570316761702,150,0.07057046877841154,0.65316063,0
75600,63,-12.626322451978892,150,0.07417548301319281,0.6551151,0
